* Data was revised on 10/4/23 to reflect the removal of 40 students with erroneous enrollments.,,,,,,,,,,,,,,,,,,,,,,,,
 School Information ,,,,,,,White,,Black/African American,,Asian/ Pacific Islander (Retired),,"Native American/
 Alaskan",,Latinx,,Multiracial,,Asian,,"Hawaiian/
 Pacific Islander",,"Not 
 Available",
610291, LEE , ISP , District , Traditional , WEST LAWN , 578 , 3 ,0.5%, 9 ,1.6%, - ,0.0%, - ,0.0%, 566 ,97.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400049, LEGACY , Charter , Charter , Traditional , NORTH LAWNDALE , 458 , 4 ,0.9%, 412 ,90.0%, - ,0.0%, 1 ,0.2%, 28 ,6.1%, - ,0.0%, 1 ,0.2%, - ,0.0%, 12 ,2.6%
400119, LEGAL PREP HS , Charter , Charter , Traditional , WEST GARFIELD PARK , 213 , - ,0.0%, 209 ,98.1%, - ,0.0%, - ,0.0%, 3 ,1.4%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610305, LELAND , Network 3 , District , Traditional , AUSTIN , 307 , 1 ,0.3%, 283 ,92.2%, - ,0.0%, - ,0.0%, 19 ,6.2%, 3 ,1.0%, - ,0.0%, 1 ,0.3%, - ,0.0%
610298, LENART , ISP , District , Traditional , CHATHAM , 295 , 38 ,12.9%, 191 ,64.7%, - ,0.0%, - ,0.0%, 15 ,5.1%, 9 ,3.1%, 41 ,13.9%, 1 ,0.3%, - ,0.0%
610036, LEWIS , Network 3 , District , Traditional , AUSTIN , 418 , - ,0.0%, 223 ,53.3%, - ,0.0%, - ,0.0%, 192 ,45.9%, 2 ,0.5%, 1 ,0.2%, - ,0.0%, - ,0.0%
610037, LIBBY , Network 8 , District , Traditional , NEW CITY , 252 , 4 ,1.6%, 142 ,56.3%, - ,0.0%, - ,0.0%, 105 ,41.7%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610038, LINCOLN , Network 4 , District , Traditional , LINCOLN PARK , 843 , 492 ,58.4%, 83 ,9.8%, - ,0.0%, - ,0.0%, 75 ,8.9%, 76 ,9.0%, 114 ,13.5%, 2 ,0.2%, 1 ,0.1%
609738, LINCOLN PARK HS , Network 14 , District , Traditional , LINCOLN PARK ," 2,097 ", 644 ,30.7%, 429 ,20.5%, - ,0.0%, 10 ,0.5%, 660 ,31.5%, 79 ,3.8%, 235 ,11.2%, 6 ,0.3%, 34 ,1.6%
610391, LINDBLOM HS , Network 16 , District , Traditional , WEST ENGLEWOOD ," 1,347 ", 34 ,2.5%, 920 ,68.3%, - ,0.0%, 2 ,0.1%, 368 ,27.3%, 13 ,1.0%, 6 ,0.4%, 1 ,0.1%, 3 ,0.2%
400137, LITTLE BLACK PEARL HS , Options , Contract , Options , KENWOOD , 79 , - ,0.0%, 77 ,97.5%, - ,0.0%, - ,0.0%, 2 ,2.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609834, LITTLE VILLAGE , ISP , District , Traditional , SOUTH LAWNDALE , 566 , 1 ,0.2%, 2 ,0.4%, - ,0.0%, 3 ,0.5%, 560 ,98.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610040, LLOYD , Network 3 , District , Traditional , BELMONT CRAGIN , 815 , 8 ,1.0%, 11 ,1.3%, - ,0.0%, 4 ,0.5%, 787 ,96.6%, 4 ,0.5%, - ,0.0%, - ,0.0%, 1 ,0.1%
400011, LOCKE A , Charter , Charter , Traditional , EAST GARFIELD PARK , 371 , - ,0.0%, 367 ,98.9%, - ,0.0%, - ,0.0%, 4 ,1.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610041, LOCKE J , Network 3 , District , Traditional , MONTCLARE ," 1,133 ", 131 ,11.6%, 40 ,3.5%, - ,0.0%, - ,0.0%, 941 ,83.1%, 7 ,0.6%, 10 ,0.9%, 3 ,0.3%, 1 ,0.1%
610541, LORCA , Network 4 , District , Traditional , AVONDALE , 611 , 30 ,4.9%, 5 ,0.8%, - ,0.0%, 2 ,0.3%, 564 ,92.3%, 3 ,0.5%, 5 ,0.8%, 1 ,0.2%, 1 ,0.2%
610043, LOVETT , Network 3 , District , Traditional , AUSTIN , 336 , 2 ,0.6%, 252 ,75.0%, - ,0.0%, 2 ,0.6%, 79 ,23.5%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610044, LOWELL , Network 5 , District , Traditional , HUMBOLDT PARK , 308 , 5 ,1.6%, 80 ,26.0%, - ,0.0%, - ,0.0%, 217 ,70.5%, 6 ,1.9%, - ,0.0%, - ,0.0%, - ,0.0%
610029, LOZANO , Network 6 , District , Traditional , WEST TOWN , 241 , 8 ,3.3%, 37 ,15.4%, - ,0.0%, 2 ,0.8%, 186 ,77.2%, 4 ,1.7%, 4 ,1.7%, - ,0.0%, - ,0.0%
610046, LYON , Network 3 , District , Traditional , BELMONT CRAGIN , 986 , 47 ,4.8%, 10 ,1.0%, - ,0.0%, 5 ,0.5%, 897 ,91.0%, 2 ,0.2%, 18 ,1.8%, 5 ,0.5%, 2 ,0.2%
610215, MADERO , Network 7 , District , Traditional , SOUTH LAWNDALE , 248 , 2 ,0.8%, 1 ,0.4%, - ,0.0%, - ,0.0%, 245 ,98.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610047, MADISON , Network 12 , District , Traditional , SOUTH SHORE , 214 , - ,0.0%, 201 ,93.9%, - ,0.0%, - ,0.0%, 10 ,4.7%, 3 ,1.4%, - ,0.0%, - ,0.0%, - ,0.0%
610048, MANIERRE , Network 4 , District , Traditional , NEAR NORTH SIDE , 278 , 6 ,2.2%, 248 ,89.2%, - ,0.0%, - ,0.0%, 21 ,7.6%, 1 ,0.4%, - ,0.0%, - ,0.0%, 2 ,0.7%
609722, MANLEY HS , Network 15 , District , Traditional , EAST GARFIELD PARK , 78 , - ,0.0%, 75 ,96.2%, - ,0.0%, - ,0.0%, 3 ,3.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610052, MANN , Network 12 , District , Traditional , SOUTH CHICAGO , 270 , 3 ,1.1%, 255 ,94.4%, - ,0.0%, - ,0.0%, 6 ,2.2%, 4 ,1.5%, 1 ,0.4%, - ,0.0%, 1 ,0.4%
609780, MARINE LEADERSHIP AT AMES HS , Network 14 , District , Traditional , LOGAN SQUARE , 628 , 20 ,3.2%, 10 ,1.6%, - ,0.0%, - ,0.0%, 590 ,93.9%, 2 ,0.3%, 4 ,0.6%, 1 ,0.2%, 1 ,0.2%
610053, MARQUETTE , Network 10 , District , Traditional , CHICAGO LAWN ," 1,026 ", 18 ,1.8%, 320 ,31.2%, - ,0.0%, - ,0.0%, 681 ,66.4%, 5 ,0.5%, - ,0.0%, 2 ,0.2%, - ,0.0%
610054, MARSH , Network 13 , District , Traditional , SOUTH DEERING , 612 , 9 ,1.5%, 69 ,11.3%, - ,0.0%, 4 ,0.7%, 525 ,85.8%, 4 ,0.7%, 1 ,0.2%, - ,0.0%, - ,0.0%
609723, MARSHALL HS , Network 15 , District , Traditional , EAST GARFIELD PARK , 174 , - ,0.0%, 165 ,94.8%, - ,0.0%, - ,0.0%, 8 ,4.6%, 1 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
610056, MASON , Network 7 , District , Traditional , NORTH LAWNDALE , 244 , 1 ,0.4%, 231 ,94.7%, - ,0.0%, - ,0.0%, 12 ,4.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609724, MATHER HS , Network 14 , District , Traditional , WEST RIDGE ," 1,683 ", 213 ,12.7%, 234 ,13.9%, - ,0.0%, 5 ,0.3%, 854 ,50.7%, 21 ,1.2%, 350 ,20.8%, 5 ,0.3%, 1 ,0.1%
610059, MAYER , Network 4 , District , Traditional , LINCOLN PARK , 702 , 471 ,67.1%, 54 ,7.7%, - ,0.0%, 4 ,0.6%, 67 ,9.5%, 51 ,7.3%, 47 ,6.7%, 7 ,1.0%, 1 ,0.1%
610290, MAYS , Network 11 , District , Traditional , ENGLEWOOD , 239 , - ,0.0%, 217 ,90.8%, - ,0.0%, - ,0.0%, 17 ,7.1%, 2 ,0.8%, - ,0.0%, - ,0.0%, 3 ,1.3%
609968, MCAULIFFE , Network 4 , District , Traditional , HERMOSA , 561 , 10 ,1.8%, 29 ,5.2%, - ,0.0%, 2 ,0.4%, 514 ,91.6%, 4 ,0.7%, 1 ,0.2%, 1 ,0.2%, - ,0.0%
610063, MCCORMICK , Network 7 , District , Traditional , SOUTH LAWNDALE , 429 , 9 ,2.1%, 4 ,0.9%, - ,0.0%, - ,0.0%, 415 ,96.7%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
610269, MCCUTCHEON , Network 2 , District , Traditional , UPTOWN , 347 , 16 ,4.6%, 169 ,48.7%, - ,0.0%, 6 ,1.7%, 91 ,26.2%, 15 ,4.3%, 50 ,14.4%, - ,0.0%, - ,0.0%
610066, MCDADE , Network 12 , District , Traditional , CHATHAM , 217 , 5 ,2.3%, 194 ,89.4%, - ,0.0%, 1 ,0.5%, 5 ,2.3%, 9 ,4.1%, 3 ,1.4%, - ,0.0%, - ,0.0%
610312, MCDOWELL , ISP , District , Traditional , CALUMET HEIGHTS , 115 , - ,0.0%, 112 ,97.4%, - ,0.0%, - ,0.0%, 3 ,2.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610067, MCKAY , Network 10 , District , Traditional , CHICAGO LAWN , 617 , 10 ,1.6%, 364 ,59.0%, - ,0.0%, 3 ,0.5%, 235 ,38.1%, 3 ,0.5%, - ,0.0%, 1 ,0.2%, 1 ,0.2%
610282, MCNAIR , Network 3 , District , Traditional , AUSTIN , 327 , 4 ,1.2%, 243 ,74.3%, - ,0.0%, - ,0.0%, 73 ,22.3%, 5 ,1.5%, 2 ,0.6%, - ,0.0%, - ,0.0%
610070, MCPHERSON , Network 2 , District , Traditional , LINCOLN SQUARE , 738 , 207 ,28.0%, 58 ,7.9%, - ,0.0%, 1 ,0.1%, 378 ,51.2%, 49 ,6.6%, 45 ,6.1%, - ,0.0%, - ,0.0%
610293, MELODY , Network 5 , District , Traditional , WEST GARFIELD PARK , 318 , 4 ,1.3%, 286 ,89.9%, - ,0.0%, - ,0.0%, 28 ,8.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609902, METCALFE , Network 13 , District , Traditional , WEST PULLMAN , 309 , 1 ,0.3%, 294 ,95.1%, - ,0.0%, - ,0.0%, 12 ,3.9%, 2 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
610062, MIÑOSO , Network 6 , District , Traditional , BRIDGEPORT , 318 , 40 ,12.6%, 145 ,45.6%, - ,0.0%, - ,0.0%, 109 ,34.3%, 7 ,2.2%, 15 ,4.7%, 2 ,0.6%, - ,0.0%
610171, MIRELES , Network 12 , District , Traditional , SOUTH CHICAGO , 451 , 2 ,0.4%, 237 ,52.5%, - ,0.0%, 4 ,0.9%, 207 ,45.9%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
610073, MITCHELL , ISP , District , Traditional , WEST TOWN , 386 , 206 ,53.4%, 29 ,7.5%, - ,0.0%, - ,0.0%, 125 ,32.4%, 16 ,4.1%, 9 ,2.3%, 1 ,0.3%, - ,0.0%
610276, MOLLISON , Network 9 , District , Traditional , GRAND BOULEVARD , 236 , - ,0.0%, 223 ,94.5%, - ,0.0%, 1 ,0.4%, 7 ,3.0%, 1 ,0.4%, 1 ,0.4%, - ,0.0%, 3 ,1.3%
610203, MONARCAS , Network 8 , District , Traditional , GAGE PARK , 804 , 13 ,1.6%, 17 ,2.1%, - ,0.0%, 4 ,0.5%, 768 ,95.5%, - ,0.0%, - ,0.0%, - ,0.0%, 2 ,0.2%
610074, MONROE , Network 4 , District , Traditional , LOGAN SQUARE , 633 , 34 ,5.4%, 12 ,1.9%, - ,0.0%, - ,0.0%, 580 ,91.6%, 6 ,0.9%, - ,0.0%, 1 ,0.2%, - ,0.0%
400116, MONTESSORI ENGLEWOOD , Charter , Charter , Traditional , WEST ENGLEWOOD , 347 , 3 ,0.9%, 272 ,78.4%, - ,0.0%, - ,0.0%, 72 ,20.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610076, MOOS , Network 5 , District , Traditional , WEST TOWN , 454 , 55 ,12.1%, 64 ,14.1%, - ,0.0%, 1 ,0.2%, 315 ,69.4%, 13 ,2.9%, 6 ,1.3%, - ,0.0%, - ,0.0%
609725, MORGAN PARK HS , Network 16 , District , Traditional , MORGAN PARK ," 1,163 ", 4 ,0.3%," 1,113 ",95.7%, - ,0.0%, - ,0.0%, 31 ,2.7%, 3 ,0.3%, - ,0.0%, 2 ,0.2%, 10 ,0.9%
610077, MORRILL , Network 10 , District , Traditional , CHICAGO LAWN , 500 , 5 ,1.0%, 140 ,28.0%, - ,0.0%, 2 ,0.4%, 353 ,70.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610257, MORTON , Network 5 , District , Traditional , HUMBOLDT PARK , 210 , 18 ,8.6%, 151 ,71.9%, - ,0.0%, - ,0.0%, 36 ,17.1%, 5 ,2.4%, - ,0.0%, - ,0.0%, - ,0.0%
609804, MOSAIC , Network 2 , District , Traditional , WEST RIDGE , 718 , 95 ,13.2%, 70 ,9.7%, - ,0.0%, 5 ,0.7%, 277 ,38.6%, 9 ,1.3%, 262 ,36.5%, - ,0.0%, - ,0.0%
610082, MOUNT GREENWOOD , ISP , District , Traditional , MOUNT GREENWOOD ," 1,155 ", 914 ,79.1%, 34 ,2.9%, - ,0.0%, 1 ,0.1%, 179 ,15.5%, 17 ,1.5%, 9 ,0.8%, 1 ,0.1%, - ,0.0%
610086, MOUNT VERNON , Network 13 , District , Traditional , WASHINGTON HEIGHTS , 248 , - ,0.0%, 241 ,97.2%, - ,0.0%, - ,0.0%, 5 ,2.0%, - ,0.0%, 1 ,0.4%, - ,0.0%, 1 ,0.4%
400178, MOVING EVEREST , Charter , Charter , Traditional , AUSTIN , 770 , - ,0.0%, 727 ,94.4%, - ,0.0%, 1 ,0.1%, 40 ,5.2%, 2 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610088, MOZART , Network 4 , District , Traditional , LOGAN SQUARE , 484 , 14 ,2.9%, 29 ,6.0%, - ,0.0%, 1 ,0.2%, 437 ,90.3%, - ,0.0%, 2 ,0.4%, - ,0.0%, 1 ,0.2%
610385, MULTICULTURAL ARTS HS , Network 15 , District , Traditional , SOUTH LAWNDALE , 253 , - ,0.0%, 40 ,15.8%, - ,0.0%, 1 ,0.4%, 212 ,83.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610089, MURPHY , Network 1 , District , Traditional , IRVING PARK , 487 , 151 ,31.0%, 20 ,4.1%, - ,0.0%, 3 ,0.6%, 288 ,59.1%, 14 ,2.9%, 11 ,2.3%, - ,0.0%, - ,0.0%
610090, MURRAY , Network 9 , District , Traditional , HYDE PARK , 464 , 11 ,2.4%, 410 ,88.4%, - ,0.0%, 1 ,0.2%, 19 ,4.1%, 16 ,3.4%, 1 ,0.2%, - ,0.0%, 6 ,1.3%
400050, NAMASTE , Charter , Charter , Traditional , MCKINLEY PARK , 359 , 21 ,5.8%, 7 ,1.9%, - ,0.0%, - ,0.0%, 322 ,89.7%, 8 ,2.2%, 1 ,0.3%, - ,0.0%, - ,0.0%
610092, NASH , Network 3 , District , Traditional , AUSTIN , 267 , 2 ,0.7%, 195 ,73.0%, - ,0.0%, - ,0.0%, 66 ,24.7%, 2 ,0.7%, 1 ,0.4%, - ,0.0%, 1 ,0.4%
610231, NATIONAL TEACHERS , Network 6 , District , Traditional , NEAR SOUTH SIDE , 768 , 83 ,10.8%, 557 ,72.5%, - ,0.0%, - ,0.0%, 41 ,5.3%, 36 ,4.7%, 39 ,5.1%, 2 ,0.3%, 10 ,1.3%
610093, NEIL , Network 12 , District , Traditional , CHATHAM , 253 , 1 ,0.4%, 236 ,93.3%, - ,0.0%, - ,0.0%, 7 ,2.8%, 1 ,0.4%, - ,0.0%, - ,0.0%, 8 ,3.2%
610094, NETTELHORST , Network 4 , District , Traditional , LAKE VIEW , 646 , 358 ,55.4%, 53 ,8.2%, - ,0.0%, 2 ,0.3%, 94 ,14.6%, 73 ,11.3%, 64 ,9.9%, 2 ,0.3%, - ,0.0%
610284, NEW FIELD , Network 2 , District , Traditional , ROGERS PARK , 572 , 75 ,13.1%, 160 ,28.0%, - ,0.0%, 1 ,0.2%, 257 ,44.9%, 35 ,6.1%, 43 ,7.5%, 1 ,0.2%, - ,0.0%
610193, NEW SULLIVAN , Network 12 , District , Traditional , SOUTH CHICAGO , 419 , 9 ,2.1%, 300 ,71.6%, - ,0.0%, 2 ,0.5%, 88 ,21.0%, 3 ,0.7%, - ,0.0%, - ,0.0%, 17 ,4.1%
610095, NEWBERRY , Network 4 , District , Traditional , LINCOLN PARK , 330 , 14 ,4.2%, 234 ,70.9%, - ,0.0%, 1 ,0.3%, 62 ,18.8%, 15 ,4.5%, 4 ,1.2%, - ,0.0%, - ,0.0%
609793, NICHOLSON , Network 11 , District , Traditional , ENGLEWOOD , 439 , 1 ,0.2%, 399 ,90.9%, - ,0.0%, 1 ,0.2%, 36 ,8.2%, 1 ,0.2%, 1 ,0.2%, - ,0.0%, - ,0.0%
610096, NIGHTINGALE , Network 8 , District , Traditional , GAGE PARK , 962 , 8 ,0.8%, 4 ,0.4%, - ,0.0%, 12 ,1.2%, 938 ,97.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609961, NINOS HEROES , Network 12 , District , Traditional , SOUTH CHICAGO , 276 , 1 ,0.4%, 218 ,79.0%, - ,0.0%, - ,0.0%, 57 ,20.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610097, NIXON , Network 4 , District , Traditional , HERMOSA , 641 , 5 ,0.8%, 13 ,2.0%, - ,0.0%, 2 ,0.3%, 612 ,95.5%, 6 ,0.9%, 1 ,0.2%, - ,0.0%, 2 ,0.3%
400058, NLCP - CHRISTIANA HS , Charter , Charter , Traditional , NORTH LAWNDALE , 309 , 1 ,0.3%, 298 ,96.4%, - ,0.0%, - ,0.0%, 8 ,2.6%, 1 ,0.3%, - ,0.0%, - ,0.0%, 1 ,0.3%
400059, NLCP - COLLINS HS , Charter , Charter , Traditional , NORTH LAWNDALE , 372 , 2 ,0.5%, 358 ,96.2%, - ,0.0%, - ,0.0%, 8 ,2.2%, - ,0.0%, - ,0.0%, - ,0.0%, 4 ,1.1%
610098, NOBEL , ISP , District , Traditional , HUMBOLDT PARK , 598 , 5 ,0.8%, 78 ,13.0%, - ,0.0%, 2 ,0.3%, 512 ,85.6%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
400170, NOBLE - ACADEMY HS , Charter , Charter , Traditional , NEAR NORTH SIDE , 521 , 6 ,1.2%, 238 ,45.7%, - ,0.0%, 3 ,0.6%, 252 ,48.4%, 7 ,1.3%, 11 ,2.1%, 1 ,0.2%, 3 ,0.6%
400157, NOBLE - BAKER HS , Charter , Charter , Traditional , SOUTH CHICAGO , 240 , - ,0.0%, 190 ,79.2%, - ,0.0%, - ,0.0%, 43 ,17.9%, 2 ,0.8%, - ,0.0%, - ,0.0%, 5 ,2.1%
400097, NOBLE - BULLS HS , Charter , Charter , Traditional , NEAR WEST SIDE ," 1,152 ", 12 ,1.0%, 576 ,50.0%, - ,0.0%, 4 ,0.3%, 548 ,47.6%, 5 ,0.4%, 1 ,0.1%, - ,0.0%, 6 ,0.5%
400156, NOBLE - BUTLER HS , Charter , Charter , Traditional , PULLMAN , 637 , 1 ,0.2%, 600 ,94.2%, - ,0.0%, - ,0.0%, 33 ,5.2%, 2 ,0.3%, - ,0.0%, - ,0.0%, 1 ,0.2%
400052, NOBLE - COMER , Charter , Charter , Traditional , GREATER GRAND CROSSING ," 1,037 ", 1 ,0.1%," 1,006 ",97.0%, - ,0.0%, 1 ,0.1%, 17 ,1.6%, 8 ,0.8%, - ,0.0%, - ,0.0%, 4 ,0.4%
400118, NOBLE - DRW HS , Charter , Charter , Traditional , NORTH LAWNDALE , 375 , - ,0.0%, 366 ,97.6%, - ,0.0%, - ,0.0%, 7 ,1.9%, - ,0.0%, - ,0.0%, - ,0.0%, 2 ,0.5%
400053, NOBLE - GOLDER HS , Charter , Charter , Traditional , WEST TOWN , 650 , 12 ,1.8%, 177 ,27.2%, - ,0.0%, 3 ,0.5%, 440 ,67.7%, 6 ,0.9%, 1 ,0.2%, 1 ,0.2%, 10 ,1.5%
400117, NOBLE - HANSBERRY HS , Charter , Charter , Traditional , AUBURN GRESHAM , 518 , 1 ,0.2%, 507 ,97.9%, - ,0.0%, - ,0.0%, 6 ,1.2%, 3 ,0.6%, - ,0.0%, 1 ,0.2%, - ,0.0%
400169, NOBLE - ITW SPEER HS , Charter , Charter , Traditional , BELMONT CRAGIN ," 1,099 ", 13 ,1.2%, 115 ,10.5%, - ,0.0%, 3 ,0.3%, 962 ,87.5%, 1 ,0.1%, 4 ,0.4%, - ,0.0%, 1 ,0.1%
400106, NOBLE - JOHNSON HS , Charter , Charter , Traditional , ENGLEWOOD , 459 , 2 ,0.4%, 436 ,95.0%, - ,0.0%, 1 ,0.2%, 18 ,3.9%, - ,0.0%, - ,0.0%, 1 ,0.2%, 1 ,0.2%
400179, NOBLE - MANSUETO HS , Charter , Charter , Traditional , BRIGHTON PARK ," 1,068 ", 3 ,0.3%, 12 ,1.1%, - ,0.0%, 5 ,0.5%," 1,044 ",97.8%, - ,0.0%, 2 ,0.2%, 1 ,0.1%, 1 ,0.1%
400098, NOBLE - MUCHIN HS , Charter , Charter , Traditional , LOOP , 941 , 12 ,1.3%, 420 ,44.6%, - ,0.0%, 2 ,0.2%, 455 ,48.4%, 1 ,0.1%, 48 ,5.1%, 2 ,0.2%, 1 ,0.1%
400051, NOBLE - NOBLE HS , Charter , Charter , Traditional , WEST TOWN , 674 , 17 ,2.5%, 108 ,16.0%, - ,0.0%, 2 ,0.3%, 525 ,77.9%, 8 ,1.2%, 11 ,1.6%, - ,0.0%, 3 ,0.4%
400054, NOBLE - PRITZKER HS , Charter , Charter , Traditional , HERMOSA , 990 , 9 ,0.9%, 49 ,4.9%, - ,0.0%, 6 ,0.6%, 921 ,93.0%, - ,0.0%, 5 ,0.5%, - ,0.0%, - ,0.0%
400055, NOBLE - RAUNER HS , Charter , Charter , Traditional , WEST TOWN , 599 , 14 ,2.3%, 144 ,24.0%, - ,0.0%, 3 ,0.5%, 427 ,71.3%, 6 ,1.0%, 1 ,0.2%, - ,0.0%, 4 ,0.7%
400056, NOBLE - ROWE CLARK HS , Charter , Charter , Traditional , HUMBOLDT PARK , 345 , - ,0.0%, 294 ,85.2%, - ,0.0%, - ,0.0%, 47 ,13.6%, 3 ,0.9%, - ,0.0%, - ,0.0%, 1 ,0.3%
400057, NOBLE - UIC HS , Charter , Charter , Traditional , NEAR WEST SIDE , 935 , 15 ,1.6%, 390 ,41.7%, - ,0.0%, 1 ,0.1%, 476 ,50.9%, 3 ,0.3%, 45 ,4.8%, 2 ,0.2%, 3 ,0.3%
610354, NORTH RIVER , Network 1 , District , Traditional , ALBANY PARK , 296 , 15 ,5.1%, 9 ,3.0%, - ,0.0%, 2 ,0.7%, 240 ,81.1%, 1 ,0.3%, 11 ,3.7%, - ,0.0%, 18 ,6.1%
609691, NORTH-GRAND HS , Network 15 , District , Traditional , HUMBOLDT PARK ," 1,047 ", 12 ,1.1%, 192 ,18.3%, - ,0.0%, 6 ,0.6%, 826 ,78.9%, 4 ,0.4%, 3 ,0.3%, 3 ,0.3%, 1 ,0.1%
609744, NORTHSIDE LEARNING HS , Network 14 , District , Specialty , NORTH PARK , 277 , 47 ,17.0%, 46 ,16.6%, - ,0.0%, 2 ,0.7%, 156 ,56.3%, 4 ,1.4%, 21 ,7.6%, 1 ,0.4%, - ,0.0%
609749, NORTHSIDE PREP HS , Network 14 , District , Traditional , NORTH PARK ," 1,033 ", 375 ,36.3%, 67 ,6.5%, - ,0.0%, 3 ,0.3%, 293 ,28.4%, 44 ,4.3%, 221 ,21.4%, 7 ,0.7%, 23 ,2.2%
610051, NORTHWEST , Network 3 , District , Traditional , BELMONT CRAGIN , 513 , 11 ,2.1%, 17 ,3.3%, - ,0.0%, 1 ,0.2%, 480 ,93.6%, 2 ,0.4%, 2 ,0.4%, - ,0.0%, - ,0.0%
610099, NORWOOD PARK , Network 1 , District , Traditional , NORWOOD PARK , 325 , 173 ,53.2%, 1 ,0.3%, - ,0.0%, - ,0.0%, 122 ,37.5%, 13 ,4.0%, 14 ,4.3%, 1 ,0.3%, 1 ,0.3%
610101, OGDEN ES , Network 15 , District , Traditional , NEAR NORTH SIDE , 910 , 192 ,21.1%, 398 ,43.7%, - ,0.0%, 5 ,0.5%, 179 ,19.7%, 59 ,6.5%, 71 ,7.8%, - ,0.0%, 6 ,0.7%
610529, OGDEN HS , Network 15 , District , Traditional , WEST TOWN , 510 , 71 ,13.9%, 235 ,46.1%, - ,0.0%, 1 ,0.2%, 179 ,35.1%, 12 ,2.4%, 12 ,2.4%, - ,0.0%, - ,0.0%
610102, OGLESBY , Network 11 , District , Traditional , AUBURN GRESHAM , 278 , - ,0.0%, 261 ,93.9%, - ,0.0%, - ,0.0%, 16 ,5.8%, - ,0.0%, - ,0.0%, 1 ,0.4%, - ,0.0%
610103, OKEEFFE , Network 12 , District , Traditional , SOUTH SHORE , 501 , - ,0.0%, 465 ,92.8%, - ,0.0%, 1 ,0.2%, 25 ,5.0%, 5 ,1.0%, - ,0.0%, 1 ,0.2%, 4 ,0.8%
610569, OMBUDSMAN - NORTHWEST HS , Options , ALOP , Options , EDISON PARK , 240 , 54 ,22.5%, 23 ,9.6%, - ,0.0%, 1 ,0.4%, 142 ,59.2%, 2 ,0.8%, 17 ,7.1%, 1 ,0.4%, - ,0.0%
610593, OMBUDSMAN - ROSELAND HS , Options , ALOP , Options , MORGAN PARK , 137 , - ,0.0%, 120 ,87.6%, - ,0.0%, - ,0.0%, 15 ,10.9%, 2 ,1.5%, - ,0.0%, - ,0.0%, - ,0.0%
610570, OMBUDSMAN - SOUTH HS , Options , ALOP , Options , CHICAGO LAWN , 215 , 1 ,0.5%, 106 ,49.3%, - ,0.0%, 2 ,0.9%, 105 ,48.8%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610571, OMBUDSMAN - WEST HS , Options , ALOP , Options , NEAR WEST SIDE , 148 , 1 ,0.7%, 118 ,79.7%, - ,0.0%, - ,0.0%, 27 ,18.2%, 2 ,1.4%, - ,0.0%, - ,0.0%, - ,0.0%
610104, ONAHAN , Network 1 , District , Traditional , NORWOOD PARK , 647 , 381 ,58.9%, 11 ,1.7%, - ,0.0%, 3 ,0.5%, 203 ,31.4%, 27 ,4.2%, 20 ,3.1%, 1 ,0.2%, 1 ,0.2%
610105, ORIOLE PARK , Network 1 , District , Traditional , NORWOOD PARK , 587 , 352 ,60.0%, 11 ,1.9%, - ,0.0%, 1 ,0.2%, 165 ,28.1%, 18 ,3.1%, 40 ,6.8%, - ,0.0%, - ,0.0%
610329, OROZCO , Network 7 , District , Traditional , LOWER WEST SIDE , 268 , 4 ,1.5%, 3 ,1.1%, - ,0.0%, - ,0.0%, 259 ,96.6%, 1 ,0.4%, 1 ,0.4%, - ,0.0%, - ,0.0%
610389, ORR HS , Network 15 , District , Traditional , HUMBOLDT PARK , 230 , 2 ,0.9%, 143 ,62.2%, - ,0.0%, - ,0.0%, 83 ,36.1%, 2 ,0.9%, - ,0.0%, - ,0.0%, - ,0.0%
